description,manufacturer,correct_code,correct_desc,form,amount,dosage
"ГЛИБЕНКЛАМИД 0,005 N120 ТАБЛ","ОЗОН,ООО",45957,глибенкламид,табл,120,5мг
БИНТ НЕСТЕРИЛЬНЫЙ АППОЛО 7МХ14СМ ИНД/УП,АППОЛО ТД ООО,11126,бинт марлевый нестерильный 7м х 14см упак,инд/уп,1,
"ВЕРАПАМИЛ 0,08 N50 ТАБЛ П/ПЛЕН/ОБОЛОЧ/ИРБИТСКИЙ ХФЗ","ИРБИТСКИЙ ХИМФАРМЗАВОД, ОАО",7876,верапамил,табл п/плен/оболоч,50,80мг
"ДРОТАВЕРИН-ТЕВА 0,04 N20 ТАБЛ",Адифарм ЕАД,39896,дротаверин-тева,табл блистер,20,40мг
"ФЕНИЛИН 0,03 N20 ТАБЛ","Здоровье фарм. компания, ООО",7156,фенилин,табл,20,0.03г
"КЕТОРОЛАК 0,03/МЛ 1МЛ N10 АМП Р-Р В/В В/М/БИОСИНТЕЗ",Биосинтез ПАО,46928,кеторолак,раствор амп в/м в/в,10,30мг/мл 1мл
"ДИМЕДРОЛ 0,01/МЛ 1МЛ N10 АМП Р-Р В/В В/М /БИОСИНТЕЗ",Биосинтез ПАО,40829,димедрол,раствор инд/уп амп в/м в/в,10,1% 1мл
"ДИГОКСИН 0,025% 1МЛ N10 АМП Р-Р /СЕМАШКО/","Мосхимфармпрепараты им Н.А.Семашко, ОАО",1985,дигоксин,раствор амп в/в,10,0.025% 1мл
"КЕТОТИФЕН 0,001 N30 ТАБЛ /МОСХИМФАРМ СЕМАШКО","Мосхимфармпрепараты им Н.А.Семашко, ОАО",2024,кетотифен,табл,30,1мг
"НОВОКАИН 0,005/МЛ 5МЛ N10 АМП Р-Р Д/ИН/СЛАВЯН АПТ",СЛАВЯНСКАЯ АПТЕКА ООО,39009,новокаин,раствор амп,10,0.5% 5мл
"ФАМОТИДИН 0,04 N20 ТАБЛ П/ПЛЕН/ОБОЛОЧ","ОЗОН,ООО",14285,фамотидин,табл п/плен/оболоч,20,40мг
"ПАПАВЕРИНА Г/Х 0,02/МЛ 2МЛ N10 АМП Р-Р /АРМАВИР","АРМАВИРСКАЯ БИОФАБРИКА, ФКП",10095,папаверин г-х,раствор для инъекций амп,10,20мг/мл 2мл
"СМЕКТА 3,0 N8 ПАКЕТ СУСП Д/ПРИЕМА ВНУТРЬ",Бофур Ипсен Индастри,48632,смекта /карамель-какао/,д/вн/пр сусп,8,3г
"КОНВУЛЬСОФИН- РЕТАРД 0,3 N100 ТАБЛ ПРОЛОНГ П/ПЛЕН/ОБОЛОЧ",Меркле ГмбХ,48807,конвульсофин-ретард,табл п/плен/оболоч,100,300мг
"ДОЦЕТАКСЕЛ САНДОЗ 0,01/МЛ 16МЛ N1 ФЛАК КОНЦ Д/Р-РА Д/ИНФ",Эбеве Фарма Гес.м.б.Х.Нфг.КГ,43044,доцетаксел-сандоз,конц д/приг раствора флакон д/инф,1,10мг/мл 16мл
"ЭСЦИТАЛОПРАМ 0,01 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ/БФЗ","Березовский фармацевтический завод,ЗАО",48201,эсциталопрам,табл п/плен/оболоч,28,10мг
"КАРДИОМАГНИЛ 0,075+0,0152 N100 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Такеда ГмбХ,39956,кардиомагнил,табл п/плен/оболоч,100,"75мг 15,2мг"
"НЕБИВОЛОЛ 0,005 N28 ТАБЛ /БФЗ/","Березовский фармацевтический завод,ЗАО",48811,небиволол,табл,28,5мг
"УТРОЖЕСТАН 0,2 N14 КАПС",Синдеа Фарма С.Л.,46214,утрожестан,капс блистер,14,200мг
АФЛУБИН N12 ТАБЛ ПОДЪЯЗЫЧ,Рихард Биттнер АГ,7909,афлубин подъязмеопат,табл,12,.г
"АЦЦ АКТИВ 0,6 N10 САШЕ ПОР Д/ПРИЕМА ВНУТРЬ",Гермес Фарма Гес. М.б.Х./ Салютас Фарма ГмбХ,48755,ацц актив,д/вн/пр д/мест д/приг сусп,10,600мг
"ДЕ-НОЛ 0,12 N56 ТАБЛ П/ПЛЕН/ОБОЛОЧ","ЗиО-Здоровье, ЗАО",48821,де-нол,табл п/плен/оболоч,56,120мг
ПАНЗИНОРМ 10000 N21 КАПС,"КРКА, д.д., Ново место, АО",17153,панзинорм 10000,капс блистер,21,
"ВАЛЬСАКОР 0,16 N90 ТАБЛ П/ПЛЕН/ОБОЛОЧ","КРКА-РУС, ООО",44203,вальсакор,табл п/плен/оболоч,90,160мг
"ИХТИОЛ 0,2 N10 СУПП РЕКТ /НИЖФАРМ/",Нижфарм АО,6075,ихтиол,рект супп,10,200мг
"ГЕПАТРОМБИН 500МЕ+0,0025+0,0025/Г 40,0 ГЕЛЬ Д/НАРУЖ ПРИМ","Хемофарм А.Д.Вршац, произ-ая площадка Шабац/ Хемофарм А.Д.",1107,гепатромбин г,гель туба,1,500ме 2.5мг 2.5мг 40г
"РОКСЕРА 0,005 N90 ТАБЛ П/ПЛЕН/ОБОЛОЧ","КРКА, д.д., Ново место, АО",38967,роксера,табл п/плен/оболоч,90,5мг
"ФЛЕМОКСИН СОЛЮТАБ 0,5 N20 ТАБЛ ДИСПЕР",Астеллас Фарма Юроп Б.В.,759,флемоксин солютаб дисперг,табл,20,500мг
ОМНАДРЕН 250 1МЛ N1 АМП Р-Р В/М МАСЛ,Фармзавод Ельфа А.О.,41195,омнадрен 250,масл раствор амп в/м,1,250мг 1мл
"БЕЗОРНИЛ 10,0 МАЗЬ Д/РЕКТ/НАРУЖ ПРИМ",Акционерное фармацевтическое предприятие Маинлун,4387,безорнил наконеч,д/наруж д/мест рект мазь туба,4,10г
"МЕТИЛУРАЦИЛ 0,5 N10 СУПП РЕКТ/НИЖФАРМ",Нижфарм АО,2942,метилурацил,рект супп,10,500мг
"МУКАЛТИН-ЛЕКТ 0,05 N10 ТАБЛ",Тюменский  ХФЗ ОАО,48863,мукалтин-лект,табл,10,50мг
"КАРДИКЕТ 0,02 N50 ТАБЛ ПРОЛОНГ",Эйсика Фармасьютикалз ГмбХ,47495,кардикет действия,табл,50,20мг
"ВАЛЬСАКОР 0,08 N90 ТАБЛ П/ПЛЕН/ОБОЛОЧ","КРКА-РУС, ООО",46967,вальсакор,табл п/плен/оболоч,90,80мг
"5-ФТОРУРАЦИЛ ЭБЕВЕ 0,05/МЛ 20МЛ КОНЦ Д/ИНФУЗ ФЛАК",Эбеве Фарма Гес.м.б.Х.Нфг.КГ,16654,5-фторурацил-эбеве -т инфуз,конц д/приг раствора флакон,1,50мг/мл 20мл
"КСАМИОЛ 60,0 ГЕЛЬ",Лео Лэбораторис Лимитед,43177,ксамиол наружного,д/наруж д/инг флакон гель,1,60г
"БАРАЛГИН М 0,5/МЛ 5МЛ N5 АМП Р-Р Д/ИН",Санофи Индия Лимитед,129,баралгин м,раствор амп в/м,5,500мг/мл 5мл
"НАТРИЯ ХЛОРИД БУФУС 0,9% 5МЛ N10 АМП Р-ЛЬ /RENEWAL/",Обновление ПФК  АО,18851,натрия хлорид буфус,раствор,10,0.9% 5мл
ЛОГЕСТ N21 ТАБЛ П/О,Байер Веймар ГмбХ и Ко.КГ/Байер АГ,48825,логест,табл п/плен/оболоч,21,
"ПЕРИНДОПРИЛ-ТЕВА 0,005 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Тева Прайвэт Ко.Лтд Фарм.завод,43817,периндоприл-тева,табл п/плен/оболоч,30,5мг
МАГНЕ В6 ФОРТЕ N40 ТАБЛ П/ПЛЕН/ОБОЛОЧ,Хиноин Завод Фармацевтических и Химических продукт,47380,магне6 форте,табл п/плен/оболоч,40,
"ПЛАВИКС 0,075 N100 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Санофи Винтроп Индустрия,41820,плавикс,табл п/плен/оболоч,100,75мг
"РЕНИТЕК 0,02 N14 ТАБЛ","Мерк Шарп и Доум Лтд., /АКРИХИН АО",37178,ренитек,табл,14,20мг
"РАМИПРИЛ-АКРИХИН 0,01 N30 ТАБЛ",Акрихин ХФК АО,45849,рамиприл-акрихин,табл,30,10мг
"АУГМЕНТИН 0,5/0,125 N14 ТАБЛ П/ПЛЕН/ОБОЛОЧ",СмитКляйн Бичем Лимитед,42389,аугментин 4,табл п/плен/оболоч пак,14,500мг 125мг
"КРАСАВКИ ЭКСТРАКТ 0,015 N10 СУПП /НИЖФАРМ/",Нижфарм АО,2959,красавки экстракт,рект супп,10,15мг
УКРОПНАЯ ВОДИЧКА КУК ЛЯ КУК 15МЛ,Фарматек ЗАО,48810,укропная водичка кук ля кук,флакон,1,15мл
"ТЕТРАЦИКЛИН 0,1 N20 ТАБЛ П/ПЛЕН/ОБОЛОЧ/БИОХИМИК",Биохимик ПАО,5765,тетрациклин,табл п/плен/оболоч,20,100мг
"ЛЕРКАМЕН 10 0,01 N60 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Берлин-Хеми АГ,22540,леркамен 10,табл п/плен/оболоч,60,10мг
"САЛОФАЛЬК 0,5 N50 ТАБЛ П/КИШЕЧНОРАСТВ/ПЛЕН/ОБОЛОЧ",Лозан Фарма ГмбХ/ Др.Фальк Фарма ГмбХ,13728,салофальк,табл п/плен/оболоч кишечнораствор,50,500мг
"УРСОДЕЗОКСИХОЛЕВАЯ КИСЛОТА 0,25 N100 КАПС/ВЕРТЕКС/",Вертекс Акционерное Общество,48769,урсодезоксихолевая,капс к-та,100,250мг
"КОЗААР 0,05 N14 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Мерк Шарп и Доум  / Мерк Шарп и Доум Б.В.,2209,козаар конт,табл п/плен/оболоч инд/уп,14,50мг
"ГИЗААР ФОРТЕ 0,1/0,0125 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Мерк Шарп и Доум  / Мерк Шарп и Доум Б.В.,18724,гизаар форте 100,табл п/плен/оболоч,28,"12,5мг"
"АЛЛЕРГОДИЛ 0,05% 6МЛ ГЛ КАПЛИ ФЛАК/КАП",Тубилукс Фарма С.п.А.,165,аллергодил,фл/кап глаз капли,1,0.05% 6мл
ГИЗААР N14 ТАБЛ П/ПЛЕН/ОБОЛОЧ,Мерк Шарп и Доум  / Мерк Шарп и Доум Б.В.,15474,гизаар 50,табл п/плен/оболоч,14,"12,5мг"
КАЛЬЦИНОВА N27 ТАБЛ ФРУКТОВЫЕ,"КРКА, д.д., Ново место, АО",1547,кальцинова фруктовые,табл,27,
"ХАРТИЛ 0,005 N28 ТАБЛ",Эгис Фармацевтический завод ЗАО,48384,хартил,табл,28,5мг
"КУРОСУРФ 0,08/МЛ 1,5МЛ ФЛАК СУСП Д/ЭНДОТРАХЕАЛ",Кьези Фармацевтичи С.п.А.,37771,куросурф д/эндотрахеального,флакон сусп,1,80мг/мл 1.5мл
"ТОРАСЕМИД 0,01 N60 ТАБЛ/БФЗ","Березовский фармацевтический завод,ЗАО",48814,торасемид,табл,60,10мг
"ГЕПАТРОМБИН С 500МЕ+0,15+0,025/Г 40,0 ГЕЛЬ Д/НАР",Хемофарм А.Д.,36994,гепатромбин с г,д/наруж д/мест гель,1,500ме 150мг 25мг 40г
РЕДУКСИН-ЛАЙТ N90 КАПС,"ПОЛЯРИС,ООО",35739,редуксин лайт,капс,90,
"КОСТАРОКС 0,12 N7 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Кадила Фармасьютикалз Лимитед,46959,костарокс,табл п/плен/оболоч,7,120мг
ФЕМИКАПС ИЗИ ЛАЙФ N120 КАПС,Ханкинтатукку Оу,2074,фемикапс изи лайф,капс,120,
БЕКЛОМЕТАЗОН 250МКГ/ДОЗА 200ДОЗ АЭРОЗ Д/ИНГ /БИННОФАРМ/,"Биннофарм, АО",42169,беклометазон доза баллон 200,аэроз д/инг дозир,1,250мкг
"АЦИКЛОВИР 0,4 N20 ТАБЛ","ОЗОН ФАРМ, ООО",48809,ацикловир,табл,20,400мг
"ГИАЛУРОМ ТЕНДОН 0,04/2МЛ N1 ШПРИЦ Р-Р ГИАЛУРОНАТА НАТРИЯ Д/ОКОЛОСУХОЖ В/СУСТАВН ВВЕД",К.О.Ромфарм Компани С.Р.Л.,48748,гиалуром тендон гиалуроната натрия,раствор,1,40мг /2мл
"РЕНИТЕК 0,01 N14 ТАБЛ","Мерк Шарп и Доум Лтд., /АКРИХИН АО",37060,ренитек,табл,14,10мг
"ЦЕФЕКОН Д 0,1 N10 СУПП РЕКТ Д/ДЕТ",Нижфарм АО,2912,цефекон д -3 лет,д/дет рект супп,10,100мг 3ме
"ТОРАСЕМИД 0,005 N20 ТАБЛ/БФЗ","Березовский фармацевтический завод,ЗАО",48815,торасемид,табл,20,5мг
МОРЕАЛЬ ПЛЮС 1% 20МЛ ФЛАК СПРЕЙ НАЗАЛ,Урсафарм  Арцнаймиттель ГмбХ/ШТАДА Арцнаймиттель А,21660,мореаль плюс,флакон назал спрей,1,1% 20мл
"ТРАВОГЕН 1% 20,0 КРЕМ",Байер Хелскэр Мануфэкчуринг С.р.л.,3506,травоген,крем туба,1,1% 20г
"КОЗААР 0,1 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Мерк Шарп и Доум  / Мерк Шарп и Доум Б.В.,16489,козаар конт,табл п/плен/оболоч инд/уп,28,100мг
ПРЕЗИДЕНТ ПРОФИ PLUS WHITE PLUS ЗУБНАЯ ПАСТА 30МЛ,Бетафарма АО,13519,президент уайт плюс зубн,паста,1,30мл
"НОКСПРЕЙ 0,5МГ/МЛ 20МЛ НАЗАЛ СПРЕЙ",Сперко Украина СП,25705,нокспрей д/носа,флакон спрей,1,"0,05% 20мл"
НЕБУЛАЙЗЕР ГЛЕНМАРК NEBZMART ПОРТАТИВНЫЙ MBPN002,МикроБейс Текнолоджи Корп.,48597,небулайзер гленмарк nebzmart портативный mbpn002,,1,
КОМБИЛИПЕН ТАБС N60 ТАБЛ П/ПЛЕН/ОБОЛОЧ,"Фармстандарт-Уфимский витаминный завод,ОАО",17817,комбилипен табс,табл п/плен/оболоч,60,
"ЙОДОКСИД 0,2 N10 СУПП ВАГ",Нижфарм АО,2958,йодоксид,ваг супп,10,
"ВЕНИТАН 1% 50,0 ГЕЛЬ Д/НАРУЖ ПРИМ",Салютас Фарма ГмбХ,1720,венитан,гель,1,1% 50г
"ТАНТУМ ВЕРДЕ 0,003 N20 ТАБЛ Д/РАСС СО ВКУСОМ ЛИМОНА",Диш АГ/Азиенде Кимике Риуните Анжелини Франческо А,47821,тантум верде /лимон/,табл д/рассас,20,
"СУПРИМА-ПЛЮС 20,0 МАЗЬ",Шрея Лайф Саенсиз Пвт Лтд,3642,суприма-плюс,мазь,1,20г
"ХАРТИЛ 0,01 N28 ТАБЛ",Эгис Фармацевтический завод ОАО,48864,хартил,табл,28,10мг
"ИНФЛЮЦЕИН 0,075 N10 КАПС","Канонфарма продакшн, ЗАО",46372,инфлюцеин,капс,10,75мг
"ЗОКОР 0,01 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Акрихин ХФК АО,43422,зокор,табл п/плен/оболоч,28,10мг
"ФУРОСЕМИД 0,04 N50 ТАБЛ","ОЗОН,ООО",38308,фуросемид,табл,50,40мг
"АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА МЕДИСОРБ 0,5 N20 ТАБЛ","Медисорб, АО",19851,ацетилсалициловая мс,табл инд/уп к-та,20,500мг
ОПТИ-ФРИ РЕПЛЕНИШ РАСТВОР ДЛЯ ЛИНЗ 300МЛ+КОНТЕЙНЕР,"Алкон Лабораториз,Инк",19457,раствор д/контактнлинз опти-фри реплениш с контейнером,,1,300мл
БЕКЛОМЕТАЗОН 100МКГ/ДОЗА 200ДОЗ АЭРОЗ Д/ИНГ /БИННОФАРМ/,"Биннофарм, АО",42168,беклометазон доза баллон 200,аэроз д/инг дозир,1,100мкг
"ВАЛАЦИКЛОВИР 0,5 N10 ТАБЛ П/ПЛЕН/ОБОЛОЧ /СИНТЕЗ/","Синтез АКОМПиИ,ОАО (""Синтез"" ОАО)",48541,валацикловир,табл п/плен/оболоч,10,500мг
"ОЛАНЗАПИН-СЗ 0,01 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Северная Звезда, ЗАО",37610,оланзапин-сз,табл п/плен/оболоч,28,10мг
ИНСПИРАКС 20МКГ+50МКГ/ДОЗА 200ДОЗ АЭРОЗОЛЬ Д/ИНГ ДОЗ,"Биннофарм, АО",48904,инспиракс доза баллоны 200,аэроз д/инг дозир,1,20мкг 50мкг
"УРСОДЕЗОКСИХОЛЕВАЯ КИСЛОТА 0,25 N50 КАПС/ВЕРТЕКС/",Вертекс Акционерное Общество,48730,урсодезоксихолевая,капс к-та,50,250мг
"ЭПИСТАТ 0,08 N30 ТАБЛ ПРОЛОНГ П/ПЛЕН/ОБОЛОЧ",ГЕДЕОН РИХТЕР-РУС АО,46193,эпистат,табл п/плен/оболоч,30,80мг
"ВОРИКОЗ 0,2 N7 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Хайгланс Лабораториз Пвт.Лтд.,47518,ворикоз,табл п/плен/оболоч,7,200мг
"ФОСФОМИЦИН ЭСПАРМА 3,0 N1 ПАК ПОР Д/Р-РА Д/ПРИЕМА ВНУТРЬ",Линдофарм ГмбХ,48134,фосфомицин эспарма,д/вн/пр д/мест д/приг д/приг сусп раствора пак,1,3г
СОЛГАР БРОМЕЛАЙН N30 ТАБЛ,Solgar Vitamin and Herb,20245,солгар бромелайн бад,табл,30,500мг
ФИЗИОМЕР СПРЕЙ НАЗАЛЬНЫЙ ГИПЕРТОНИЧ 135МЛ,Лаборатория де ля Мер,38208,физиомер д/носа гипертон,спрей,1,135мл
"ЦЕФЕКОН Д 0,25 N10 СУПП РЕКТ Д/ДЕТ",Нижфарм АО,2913,цефекон д 3-12 лет,д/дет рект супп,10,250мг
"КЛОТРИМАЗОЛ 1% 20,0 КРЕМ",СЕДЕЙТ ХЕЛСКЕР (П) ЛТД,3583,клотримазол,крем,1,1% 20г
ORAL-B НАСАДКА СМЕННАЯ ДЛЯ ЭЛЕКТРИЧЕСКОЙ ЗУБНОЙ ЩЕТКИ SENSITIVE N2,Проктер энд Гэмбл Мануфэкчуринг ГмбХ,42841,oral-b насадка д/электр з/щ sensitive бережное очищение зубов ebs17,,2,
"ТОРАСЕМИД 0,01 N20 ТАБЛ/БФЗ","Березовский фармацевтический завод,ЗАО",48812,торасемид,табл,20,10мг
ВАГИЛАК ГЕЛЬ УВЛАЖНЯЮЩИЙ ДЛЯ ИНТИМНОЙ ГИГИЕНЫ 50МЛ,Jadran Galenski Laboratorij d.d.,42038,вагилак увлажняющий д/интим,для интимной гигиены гель,1,50г
СОННИК N36 КАПС,ВИС ООО,16926,сонник,капс,36,0.3г
БИНТ СТЕРИЛЬНЫЙ АППОЛО 7МХ14СМ,АППОЛО ТД ООО,11130,бинт марлевый стерильный 7м х 14см,,1,
ПРЕМА ДЛЯ ДЕТЕЙ ДУО 10МЛ КАПЛИ,Probiotical S.p.A.,47402,према дуо с пипеткой,д/дет флакон капли,1,10мл
"ДИОСМЕКТИТ 3,0 N10 ПАК ПОР Д/СУСП",ФАРМАКОР ПРОДАКШН ООО,16101,диосмектит,д/приг сусп пак,10,3г
"ЦЕФУРОКСИМ 0,75 ФЛАК ПОР Д/Р-РА В/В В/М",Красфарма ОАО,22504,цефуроксим,д/приг сусп для инъекций в/м в/в,1,750мг
ФУЛФЛЕКС КРЕМ ЭКСТРАКТ МАРТИНИИ ДУШИСТОЙ 75МЛ,БиоНатурика ООО,48454,фулфлекс с экс мартинии душистой при заболев суставов,крем,1,75мл
ФРУТОЛАКС N30 КАПС,ВИС ООО,18718,фрутолакс,капс,30,500мг
БИНТ СТЕРИЛЬНЫЙ АППОЛО 5МХ10СМ,АППОЛО ТД ООО,11128,бинт марлевый стерильный 5м х 10см,,1,
НЕОТЛОЖКА ШАМПУНЬ ЛУКОВЫЙ ОТ ВЫПАДЕНИЯ/ОБЛЫСЕНИЯ ВОЛОС 150МЛ,"ТВИНС Тэк, АО",41282,неотложка луковый выпад,от выпадения волос флакон шампунь,1,150мл
"ГАЛОПЕРИДОЛ 0,005 N50 ТАБЛ","ОЗОН,ООО",14944,галоперидол,табл,50,5мг
ЛА-КРИ СТОП АКНЕ КРЕМ-ГЕЛЬ МАТИРУЮЩИЙ ОСНОВНОЙ УХОД 50МЛ,Вертекс Акционерное Общество,46797,ла-кри стоп акне - матирующий,крем гель туба,1,50мл
"НЬЮПРО 0,006/24ЧАСА N28 ПЛАСТЫРЬ ТРАНСДЕРМ",ЛТС Ломанн Терапи-Системе АГ/ ЮСБ Мэньюфэкчуринг А,37936,ньюпро пластырь трансдерм24,,28,6мг
"НИКОТИНОВАЯ К-ТА 0,01/МЛ 1МЛ N10 АМП /ОЗОН/","ОЗОН,ООО",43073,никотиновая,раствор для инъекций к-та амп,10,10мг/мл 1мл
"ТОРАСЕМИД 0,005 N60 ТАБЛ/БФЗ","Березовский фармацевтический завод,ЗАО",48816,торасемид,табл,60,5мг
БЛАГОМАКС КАЛЬЦИЙ Д3 ВИТАМИН С N90 КАПС,ВИС ООО,38896,благомакс кальций d3 с витс,капс,90,"0,66г"
КО-РЕНИТЕК N28 ТАБЛ,Мерк Шарп и Доум Лтд/ Мерк Шарп и Доум Б.В.,1785,ко-ренитек 125,табл,28,20мг
SWISS IMAGE ОСВЕТЛЯЮЩАЯ МАСКА ДЛЯ ЛИЦА ВЫРАВНИВАЮЩАЯ ТОН КОЖИ 75МЛ,МЕДЕНА АГ,48429,swiss image осветляющая маска д/лица выравнивающая тон кожи,,1,75мл
"КАЛИЯ ХЛОРИД 0,04/МЛ 5МЛ N10 КОНЦ Д/ПРИГ Р-РА Д/ИНФ АМП",Дальхимфарм ОАО,40063,калия хлорид -т,конц д/приг раствора д/инф,10,40мг/мл 5мл
ЛА-КРИ СТОП АКНЕ ТОНИК 200МЛ,Вертекс Акционерное Общество,46831,ла-кри стоп акне тоник,флакон,1,200мл
"ДИКЛОФЕНАК 1% 30,0 ГЕЛЬ",Индус Фарма Пвт.Лтд.,9128,диклофенак,гель,1,1% 30г
"ЭЛАДОН 0,08 N60 ТАБЛ ПРОЛОНГ П/ПЛЕН/ОБОЛОЧ",Вертекс Акционерное Общество,46748,эладон,табл п/плен/оболоч,60,80мг
"ЛА-КРИ КРЕМ ДЛЯ ЧУВСТВИТЕЛЬНОЙ КОЖИ 100,0",Вертекс Акционерное Общество,46794,ла-кри д/чувст кожи,крем,1,100г
"СЕПТОЛЕТЕ ТОТАЛ 0,003 + 0,001 N16 ТАБЛ Д/РАССАС","КРКА, д.д., Ново место, АО",41198,септолете тотал,табл д/рассас,16,
СОПЕЛКА ПЛАСТЫРЬ ДЛЯ ИНГАЛЯЦИЙ N10,Bouty S.p.a,48473,сопелка пластырь 3,пак,10,
"ПОСТЕРИЗАН ФОРТЕ 25,0 МАЗЬ",Др. Каде фармацевтическая фабрика ГмбХ,9850,постеризан форте проим с аппликатором,д/наруж рект мазь,1,25г
"ВАЛИДОЛ 0,06 N10 ТАБЛ",Фармстандарт-Лексредства ОАО,1232,валидол подъязычн,табл,10,60мг
ПОСТЕРИЗАН ФОРТЕ N10 СУПП РЕКТ,Др. Каде фармацевтическая фабрика ГмбХ,18335,постеризан форте,рект супп,10,
СТРЕПТАТЕСТ ЭКСПРЕСС-ТЕСТ ДЛЯ ДИАГНОСТИКИ В-ГЕМОЛИТИЧЕСКОГО СТРЕПТОКОККА ГРУППЫ А N5,Дектра Фарм,45161,стрептатест экспресс тест диагностики стрептококка группы а,д/инг,5,
БОБОТИК 30МЛ ФЛАК КАПЛИ,Медана Фарма Акционерное Общество,48463,боботик 3,д/вн/пр д/мест фл/кап пак капли,1,"66,66мг/мл 30мл"
СИНВИСК ONE ПРОТЕЗ СИНОВИАЛЬНОЙ ЖИДК 6МЛ N1 ШПРИЦ,Джензайм Биосерджери подразделение Джензайм Корпор,38163,синвиск one протез синовиальной жидкости,,1,6мл
"АТОРВАСТАТИН 0,02 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ/ВЕРТЕКС",Вертекс Акционерное Общество,46708,аторвастатин,табл п/плен/оболоч,30,20мг
НОВОРАПИД ПЕНФИЛЛ 100МЕ/МЛ 3МЛ N5 КАТРИДЖ,Ново Нордиск А/С/ Ново Нордиск ООО,48926,новорапид пенфилл /кмл картридж,п/плен/оболоч раствор в/в,5,100ед 3мл
"ИХТИОЛОВАЯ МАЗЬ 20% 25,0 ТУБА МАЗЬ Д/НАРУЖ ПРИМ /ОЗОН/","ОЗОН,ООО",37769,ихтиол,мазь,1,20% 25г
"ВАГИСИЛ КРЕМ ДЛЯ ИНТИМНОЙ ГИГИЕНЫ 15,0",Combe Incorporated,39351,вагисил д/интим,для интимной гигиены крем,1,15г
"АМИНАЛОН 0,25 N100 ТАБЛ П/ПЛЕН/ОБОЛОЧ/ОРГАНИКА/","Органика, АО",743,аминалон,табл п/плен/оболоч,100,250мг
ВОДА ДЛЯ ИНЪЕКЦИЙ 2МЛ N10 АМП Р-ЛЬ,Новосибхимфарм ОАО,2872,вода инъекций,д/инг,10,2мл
"ЛОРТЕНЗА 0,01 + 0,1 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ","КРКА-РУС, ООО",40478,лортенза,табл п/плен/оболоч,30,10мг 100мг
"МИРТАЗАПИН КАНОН 0,045 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Канонфарма продакшн, ЗАО",38295,миртазапин канон,табл п/плен/оболоч,30,45мг
КОРВАЛОЛ N20 ТАБЛ,Фарма Старт ООО,10948,корвалол конт-пач 1 = 20 капель,табл инд/уп,20,
"НЕОВИР 0,25/2МЛ 2МЛ N1 АМП Р-Р В/М",ФГБУ РКНПК   Минздрава России - ЭПМБП/Фармсинтез ПАО,46302,неовир,раствор амп в/м,1,250мг 2мл 2мл
"НИКОРЕТТЕ 0,001/ДОЗА 13,2МЛ 150ДОЗ N2 ФЛАК СПРЕЙ Д/СЛИЗ РТА ДОЗ МЯТНЫЙ",МакНил АБ,48132,никоретте мятный доза 150,д/мест флакон дозир спрей,2,"1мг 13,2мл"
"ГЛАУМАКС 0,005% 2,5МЛ ФЛАК ГЛ КАПЛИ","Кевельт,АО",46301,глаумакс,флакон глаз капли,1,"0,005% 2,5мл"
"ФЕРМАТРОН С ПРОТЕЗ СИНОВ ЖИДК 2,3% 0,069/3МЛ N1ШПР",Hyaltech Ltd.,37085,ферматрон с протез синовиальной ж-ти стерильный,,1,2.3% 3мл
"БАРАЛГИН М 0,5 N100 ТАБЛ",Санофи Индия Лимитед,130,баралгин м,табл,100,500мг
"НЕОВИР 0,25/2МЛ 2МЛ N3 АМП Р-Р В/М",ФГБУ РКНПК   Минздрава России - ЭПМБП/Фармсинтез ПАО,46303,неовир,раствор амп в/м,3,250мг 2мл 2мл
"ФЕНАЗЕПАМ 0,001 N10 ТАБЛ ДИСПЕРГ В/ПОЛОСТИ РТА","Валента Фармацевтика,АО",48693,феназепам дисперг полртах 10,табл,1,1мг
"СИМВАГЕКСАЛ 0,03 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Сандоз Груп Саглик Урунлери Илачлари Сан.ве А.С./ Салютас Фарма,44097,симвагексал,табл п/плен/оболоч блистер,30,30мг
"ИММУНОГЛОБУЛИН ЧЕЛ НОРМ (ИММУНОВЕНИН) СУХ В/В 25,0+Р-ЛЬ",МИКРОГЕН НПО АО,11709,иммуноглобулин человека норм лиоф иммуновенин,флакон раствор в/в,1,25мл
